               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059455,            0.045086,           0.0082263,             0.86947,              0.8006,             0.85585,              0.4617,            0.034075,            0.037575,           0.0026973,           0.0033311,           0.0033311,             0.07002
                   1,            0.042866,            0.038854,            0.003844,             0.90498,             0.86817,             0.91166,             0.55339,            0.029211,            0.034389,           0.0023186,           0.0066642,           0.0066642,             0.04002
                   2,            0.037451,            0.036915,           0.0033112,             0.91261,             0.88688,             0.92643,             0.58797,            0.027099,            0.033062,           0.0018674,           0.0099967,           0.0099967,            0.010019
                   3,            0.033918,            0.035238,           0.0029313,             0.93158,             0.90467,             0.94234,             0.62374,            0.025255,            0.031132,           0.0016144,           0.0099978,           0.0099978,           0.0099978
                   4,               0.032,            0.033991,           0.0027159,             0.93739,             0.91713,             0.94988,             0.64502,            0.024038,            0.029965,           0.0014807,           0.0099978,           0.0099978,           0.0099978
                   5,            0.031013,            0.033232,           0.0025878,             0.94037,             0.92357,             0.95458,             0.65852,            0.023237,            0.029236,           0.0014094,           0.0099961,           0.0099961,           0.0099961
                   6,            0.030307,            0.032711,           0.0025265,              0.9462,             0.92507,             0.95747,             0.66803,            0.022609,            0.028683,           0.0013764,           0.0099938,           0.0099938,           0.0099938
                   7,             0.02977,            0.032207,            0.002476,             0.94762,             0.93333,             0.96092,             0.67862,            0.021963,            0.027984,           0.0013303,           0.0099911,           0.0099911,           0.0099911
                   8,            0.029317,            0.031808,           0.0024166,             0.95046,              0.9363,             0.96306,             0.68616,            0.021503,            0.027494,           0.0012934,           0.0099879,           0.0099879,           0.0099879
                   9,            0.029039,            0.031678,           0.0023986,              0.9521,               0.938,             0.96421,             0.69302,            0.021114,            0.027101,           0.0012754,           0.0099842,           0.0099842,           0.0099842
                  10,            0.028766,            0.031209,           0.0023819,             0.95479,             0.94072,             0.96584,             0.69935,            0.020686,            0.026676,           0.0012501,             0.00998,             0.00998,             0.00998
                  11,            0.028477,             0.03129,           0.0023496,             0.95769,             0.94016,             0.96674,              0.7051,            0.020323,            0.026332,           0.0012293,           0.0099753,           0.0099753,           0.0099753
                  12,             0.02823,            0.030876,           0.0023229,             0.95602,             0.94601,             0.96797,             0.70904,            0.020012,            0.025996,           0.0012139,           0.0099702,           0.0099702,           0.0099702
                  13,            0.028026,            0.030643,           0.0023179,             0.95832,              0.9458,             0.96851,             0.71303,            0.019732,            0.025746,           0.0012029,           0.0099645,           0.0099645,           0.0099645
                  14,            0.027816,            0.030466,           0.0022901,             0.95975,             0.94687,             0.96919,             0.71682,            0.019469,            0.025484,           0.0011913,           0.0099584,           0.0099584,           0.0099584
                  15,            0.027696,            0.030386,           0.0022884,             0.96182,             0.94689,             0.96972,             0.72054,             0.01925,             0.02525,            0.001183,           0.0099517,           0.0099517,           0.0099517
                  16,            0.027501,            0.030183,           0.0022741,             0.96271,             0.94801,              0.9702,              0.7229,            0.019058,            0.025047,           0.0011726,           0.0099446,           0.0099446,           0.0099446
                  17,            0.027401,              0.0301,           0.0022668,             0.96322,             0.94891,             0.97047,              0.7255,            0.018872,            0.024856,           0.0011644,            0.009937,            0.009937,            0.009937
                  18,            0.027247,            0.029843,           0.0022612,             0.96361,             0.94974,             0.97075,             0.72777,             0.01872,            0.024709,           0.0011589,           0.0099289,           0.0099289,           0.0099289
                  19,            0.027086,            0.029899,           0.0022377,             0.96367,              0.9506,             0.97117,              0.7296,            0.018581,            0.024579,           0.0011526,           0.0099203,           0.0099203,           0.0099203
                  20,            0.026943,            0.029592,           0.0022431,              0.9639,             0.95116,             0.97168,             0.73167,            0.018465,            0.024453,           0.0011479,           0.0099112,           0.0099112,           0.0099112
                  21,            0.026933,            0.029543,           0.0022364,             0.96354,             0.95231,             0.97196,             0.73297,            0.018366,            0.024353,            0.001144,           0.0099017,           0.0099017,           0.0099017
                  22,            0.026767,            0.029407,           0.0022176,             0.96389,             0.95263,             0.97213,             0.73424,            0.018285,            0.024271,           0.0011409,           0.0098916,           0.0098916,           0.0098916
                  23,             0.02663,            0.029483,           0.0022089,             0.96544,             0.95173,             0.97237,             0.73565,            0.018207,            0.024195,           0.0011376,           0.0098811,           0.0098811,           0.0098811
                  24,            0.026527,            0.029364,           0.0022075,             0.96499,             0.95268,             0.97253,             0.73669,            0.018138,            0.024123,           0.0011349,           0.0098701,           0.0098701,           0.0098701
                  25,            0.026488,            0.029308,           0.0022045,             0.96608,             0.95214,             0.97273,              0.7376,            0.018072,            0.024055,           0.0011323,           0.0098586,           0.0098586,           0.0098586
                  26,            0.026394,            0.029285,            0.002203,             0.96533,             0.95333,              0.9728,             0.73863,             0.01801,            0.023991,             0.00113,           0.0098467,           0.0098467,           0.0098467
                  27,            0.026282,            0.029042,           0.0021828,             0.96549,             0.95367,             0.97296,             0.73951,            0.017951,            0.023932,           0.0011277,           0.0098342,           0.0098342,           0.0098342
